Entry Date,Entry Price,Quantity,Entry Value,Exit Date1,Exit Price1,Exit Date2,Exit Price2,Sell Reason,Abs Profit,Pct Profit
2022-01-02,47240.0,0.2116850127011008,10000.000000000002,2022-01-02,0.0,2022-01-02,0.0,normal,-10000.000000000002,-1.0
2022-02-05,41488.62,0.24821552568392674,4667.703238780694,,0,,0,,-4667.703238780694,-1.0
2022-02-05,41581.23,0.24131564829882463,10034.201474512536,,0,,0,,-10034.201474512536,-1.0
2022-02-05,41575.72,0.21715026968117623,9028.178810189072,2022-02-05,0.0,2022-02-05,0.0,normal,-9028.178810189072,-1.0
2022-02-06,41530.39,0.2415682303592942,10032.422818431329,2022-02-06,0.0,2022-02-06,0.0,stop_loss,-10032.422818431329,-1.0
2022-02-25,39126.0,0.2819257914333763,-8428.914775064484,,0,,0,,8428.914775064484,-1.0
2022-02-26,39748.3,0.2537186648427368,10084.885605768557,,0,,0,,-10084.885605768557,-1.0
2022-03-01,43298.6,0.2328268544618915,10081.076840603655,2022-03-01,0.0,2022-03-01,0.0,normal,-10081.076840603655,-1.0
2022-03-01,43942.9,0.22967770023634038,10092.704213715482,2022-03-01,0.0,2022-03-01,0.0,normal,-10092.704213715482,-1.0
2022-03-01,43853.1,0.23000287172769443,10086.338934161757,2022-03-01,0.0,2022-03-01,0.0,normal,-10086.338934161757,-1.0
2022-03-01,43926.0,0.22958808137856998,10084.886062635065,2022-03-02,0.0,2022-03-02,0.0,normal,-10084.886062635065,-1.0
2022-07-29,24239.0,0.4160628875717294,10084.948331851148,2022-07-29,0.0,2022-07-29,0.0,stop_loss,-10084.948331851148,-1.0
2022-09-10,21344.5,0.5185514503872971,-7771.48057305506,,0,,0,,7771.48057305506,-1.0
2022-11-11,17392.6,0.5853234894588922,10180.297322762728,,0,,0,,-10180.297322762728,-1.0
2022-11-11,17394.2,0.5850825505092184,10177.042900067447,2022-11-11,0.0,2022-11-11,0.0,normal,-10177.042900067447,-1.0
2023-01-14,20817.9,0.4885802832112928,10171.215477864374,2023-01-14,0.0,2023-01-14,0.0,stop_loss,-10171.215477864374,-1.0
2023-01-14,20822.5,0.5370786058432783,-9136.00183816119,,0,,0,,9136.00183816119,-1.0
2023-01-14,20821.1,0.4882456005016958,10165.810472605857,,0,,0,,-10165.810472605857,-1.0
2023-03-14,24384.9,0.4171002061244104,10170.946816323136,2023-03-14,0.0,2023-03-14,0.0,stop_loss,-10170.946816323136,-1.0
2023-03-14,24397.3,0.4582494726058255,-9127.057617449387,,0,,0,,9127.057617449387,-1.0
2023-03-14,24358.7,0.4212675588897945,8261.97201045073,,0,,0,,-8261.97201045073,-1.0
2023-03-18,27430.9,0.3722221212831358,10210.38778670557,,0,,0,,-10210.38778670557,-1.0
